iter	Accuracy	MultiClass
183	0.8796911859	0.5768536891
184	0.8804060333	0.5749325557
185	0.8808349417	0.5733952523
186	0.8813353349	0.5714066515
187	0.8819786975	0.5696397694
188	0.882407606	0.5677839007
189	0.8828365144	0.5665457593
190	0.8836943313	0.564160711
191	0.8838373007	0.5630006722
192	0.8855529344	0.5606561335
193	0.886482236	0.5590126642
194	0.8873400529	0.556922086
195	0.8880549003	0.5558080824
196	0.8879834155	0.5545393726
197	0.8891986561	0.5517024067
198	0.8896990493	0.5502867792
199	0.8902709272	0.548633873
200	0.8903424119	0.5451355158
201	0.891128744	0.5421076772
202	0.8914861677	0.5411448175
203	0.892486954	0.5374991109
204	0.8926299235	0.5360393433
205	0.8934162556	0.5348394181
206	0.8945600114	0.53221932
207	0.8954178283	0.5292404319
208	0.895489313	0.5275850782
209	0.8964900994	0.5252131918
210	0.8969190078	0.524307499
211	0.8985631568	0.5219655792
212	0.8989920652	0.520630975
213	0.8992065194	0.5181792821
214	0.90042176	0.5158258885
215	0.9017084852	0.5136488009
216	0.9020659089	0.5128173308
217	0.90313818	0.5108993273
218	0.9042104511	0.5088558332
219	0.90449639	0.5075406408
220	0.9054971764	0.5056546899
221	0.9053542069	0.5048210982
222	0.9055686611	0.5037755797
223	0.9054971764	0.5031130683
224	0.9062835085	0.5018747686
225	0.9066409322	0.4999702847
226	0.9070698406	0.4983383385
227	0.9072128101	0.4968339766
228	0.9072842948	0.4947146344
229	0.9080706269	0.4922027466
230	0.9084995353	0.4907165429
231	0.9087854743	0.488996218
232	0.9097147759	0.4869498696
233	0.9100007148	0.4860223799
234	0.9112874401	0.4832476576
235	0.9117163486	0.4806567148
236	0.9124311959	0.478261209
237	0.9125026807	0.4772776111
238	0.9126456502	0.476166127
239	0.9142897991	0.4743174972
240	0.9142897991	0.4724494652
241	0.9145042533	0.4717290157
242	0.9147187076	0.47042555
243	0.9155765244	0.4686030154
244	0.9160769176	0.4666528963
245	0.9162198871	0.4649334277
246	0.916791765	0.4635687134
247	0.9172921581	0.4617491871
248	0.9173636429	0.4607436536
249	0.9176495818	0.4595847319
250	0.9177925513	0.4587619903
251	0.9187933376	0.456718412
252	0.9197226392	0.4553342063
253	0.9203660019	0.4543328552
254	0.9209378798	0.4530318121
255	0.9212953035	0.4512444876
256	0.9217956966	0.4496804003
257	0.9218671814	0.4482385541
258	0.9220101508	0.4464122106
259	0.922510544	0.4450531738
260	0.9232253914	0.4430540627
261	0.9234398456	0.4423941836
262	0.9240117235	0.4409401182
263	0.9247980556	0.4394517909
264	0.9242976624	0.4385939392
265	0.9245836014	0.4374808501
266	0.9262277504	0.4358206557
267	0.9263707199	0.434406218
268	0.9273715062	0.4325701525
269	0.9279433841	0.4306578851
270	0.9283722925	0.4284449429
271	0.928515262	0.4274009566
272	0.9290871399	0.4253482262
273	0.9290871399	0.4247906575
274	0.9290871399	0.4241516519
275	0.9299449568	0.4227226001
276	0.9299449568	0.4218787195
277	0.9303023804	0.4205578142
278	0.9310172278	0.4189822729
279	0.9316605905	0.4171782859
280	0.9319465294	0.416417335
281	0.9325898921	0.4151892437
282	0.9329473157	0.4135438539
283	0.932875831	0.4127155015
284	0.9329473157	0.4121207206
285	0.9332332547	0.4114169308
286	0.9334477089	0.4099358819
287	0.9348774037	0.4082522327
288	0.9349488884	0.4068736373
289	0.9360926442	0.4057028487
290	0.9367360069	0.4043337499
291	0.9371649153	0.4036318524
292	0.9372364	0.4022973434
293	0.9373793695	0.4015892927
294	0.937522339	0.4007589949
295	0.937522339	0.3996561441
296	0.9383801558	0.39821364
297	0.9393094574	0.3959815354
298	0.9395239116	0.3951159566
299	0.9400957895	0.3941585404
300	0.9401672743	0.3935967311
301	0.9407391522	0.392358148
302	0.9410250911	0.3912099297
303	0.9413110301	0.3897719184
304	0.9417399385	0.3886264566
305	0.9423118164	0.3871106948
306	0.9427407249	0.3863878222
307	0.9429551791	0.3849655329
308	0.9429551791	0.3842716338
309	0.943527057	0.3828697814
310	0.943527057	0.3818037188
311	0.9437415112	0.3810267784
312	0.9438844807	0.3803261382
313	0.9440989349	0.3790350546
314	0.9440989349	0.3782713965
315	0.9443848738	0.3768510502
316	0.9450282365	0.3753337285
317	0.9458145686	0.374347739
318	0.946243477	0.3732920386
319	0.9461719923	0.3724320053
320	0.9468868397	0.3711200615
321	0.9473157481	0.3696381109
322	0.9475302023	0.3683915308
323	0.9475302023	0.3680449233
324	0.9476731718	0.3672175168
325	0.9479591107	0.3660104621
326	0.947887626	0.3654693679
327	0.9484595039	0.3645196475
328	0.9486739581	0.3639422218
329	0.9487454428	0.3631937068
330	0.9488884123	0.3623173018
331	0.9496747444	0.3609830055
332	0.9500321681	0.3602633552
333	0.9499606834	0.3589967539
334	0.9499606834	0.3577285207
335	0.9498891987	0.356640946
336	0.9501751376	0.3550167294
337	0.9502466223	0.3544540259
338	0.9507470155	0.3536842583
339	0.950889985	0.353089359
340	0.9509614697	0.3518580782
341	0.9517478018	0.3512248759
342	0.9518192866	0.3501567489
343	0.9519622561	0.3491690049
344	0.9519622561	0.3486838122
345	0.9518907713	0.3479619893
346	0.9519622561	0.3470428617
347	0.9524626492	0.3461005035
348	0.9526771034	0.3451120543
349	0.9527485882	0.34418424
350	0.9528200729	0.3430145941
351	0.9532489813	0.3419354001
352	0.9531774966	0.3408826657
353	0.9532489813	0.3398152288
354	0.9535349203	0.3389900699
355	0.9534634356	0.3380483077
356	0.9535349203	0.3368092386
357	0.9536778898	0.3361108314
358	0.9539638287	0.3357015452
359	0.9541067982	0.3347703503
360	0.9541067982	0.3336092698
361	0.9543927372	0.3327314153
362	0.9545357066	0.3322529584
363	0.9548931303	0.3309970025
364	0.9548931303	0.3301595117
365	0.9551790693	0.3295380977
366	0.9554650082	0.3286636631
367	0.9556794624	0.3276116742
368	0.9561083709	0.3265201856
369	0.9561798556	0.3260599134
370	0.9564657946	0.3248578439
371	0.9570376725	0.3239048544
372	0.9575380656	0.3231262675
373	0.9578240046	0.3224793972
374	0.9581099435	0.3217525718
375	0.9579669741	0.3206416393
376	0.9583958825	0.3197627995
377	0.9586818214	0.3190187122
378	0.9590392451	0.3179842489
379	0.958538852	0.3170366183
380	0.9586103367	0.3164556217
381	0.9588962756	0.3157622467
382	0.9592536993	0.3148208495
383	0.9595396383	0.314460001
384	0.9596826078	0.3137540964
385	0.9601830009	0.3127428515
386	0.9606833941	0.3117660254
387	0.961255272	0.3107708237
388	0.9613982415	0.3099494327
389	0.9616126957	0.3091803198
390	0.9618986346	0.3082494259
391	0.9619701194	0.3075015007
392	0.9618986346	0.3065228275
393	0.9623990278	0.3058829823
394	0.9623990278	0.3055290516
395	0.9623990278	0.3051558387
396	0.9623990278	0.3041616777
397	0.9623990278	0.3033125512
398	0.9623990278	0.3030070012
399	0.9623990278	0.3023938332
400	0.962613482	0.3017460305
401	0.9625419973	0.3010475866
402	0.9623990278	0.3004943888
403	0.9624705125	0.2995651691
404	0.962613482	0.2989577606
405	0.9631138752	0.2979210266
406	0.9631853599	0.2971966695
407	0.9634712989	0.2959615754
408	0.9638287226	0.2950936657
409	0.964257631	0.2939987476
410	0.9643291157	0.2931775831
411	0.9645435699	0.2924362832
412	0.9647580242	0.2919126461
413	0.9650439631	0.2909219271
414	0.9654728715	0.2901235369
415	0.9651154479	0.2890761552
416	0.9651869326	0.2885395298
417	0.9652584173	0.2875826995
418	0.9654728715	0.2869695454
419	0.9654728715	0.2867322776
420	0.9653299021	0.2856550454
421	0.9656873258	0.2850307664
422	0.9658302952	0.2841756248
423	0.9659732647	0.2833352993
424	0.96590178	0.2825327754
425	0.9660447494	0.2819229046
426	0.9659732647	0.281264852
427	0.9661162342	0.2806909314
428	0.9661162342	0.2805002894
429	0.9662592037	0.2797391675
430	0.9664021731	0.2790049572
431	0.9665451426	0.2779381855
432	0.9666881121	0.2769036813
433	0.9668310816	0.2763179823
434	0.9673314747	0.2749563726
435	0.9675459289	0.2743069296
436	0.9674744442	0.27366095
437	0.9679033526	0.2729789558
438	0.9678318679	0.2724552148
439	0.9679033526	0.2721773705
440	0.9684037458	0.27143058
441	0.9686896848	0.2706207958
442	0.9691185932	0.2699165027
443	0.9693330474	0.2693205895
444	0.9692615627	0.2689013431
445	0.9694760169	0.2682114188
446	0.9695475016	0.267941207
447	0.9696904711	0.2672979798
448	0.9696189863	0.2666707527
449	0.9696904711	0.2656426838
450	0.9698334406	0.2652243017
451	0.9697619558	0.2644329584
452	0.9698334406	0.2637523839
453	0.9699049253	0.263394477
454	0.9698334406	0.2630923895
455	0.96997641	0.2624307236
456	0.9699049253	0.2619693913
457	0.9701908643	0.2613276718
458	0.9703338337	0.260787378
459	0.9706197727	0.2603102998
460	0.9706912574	0.2597538885
461	0.9709057116	0.2591931068
462	0.9711201658	0.2585066181
463	0.9712631353	0.2582072496
464	0.9712631353	0.2573848823
465	0.9713346201	0.2568076239
466	0.9716920437	0.2562304632
467	0.9716920437	0.256061169
468	0.9718350132	0.2553866021
469	0.971906498	0.2549337596
470	0.9718350132	0.254534272
471	0.9718350132	0.2537130188
472	0.971906498	0.2530235261
473	0.9720494674	0.2525250977
474	0.9723354064	0.2518823359
475	0.9723354064	0.2514838115
476	0.9725498606	0.2507083917
477	0.9726213453	0.2499999068
478	0.9726213453	0.2493842868
479	0.9728357996	0.2488652044
480	0.973264708	0.2483668192
481	0.9731932232	0.2477015328
482	0.973264708	0.2472535061
483	0.973264708	0.2468449489
484	0.9734076775	0.2460904174
485	0.9734076775	0.2454961277
486	0.9734076775	0.2452374014
487	0.9734791622	0.245018994
488	0.9736221317	0.2445019221
489	0.9737651012	0.2436248845
490	0.9741225248	0.2430344475
491	0.9740510401	0.2427229224
492	0.9741225248	0.2420916698
493	0.9742654943	0.2417631969
494	0.9742654943	0.2410704334
495	0.9743369791	0.2403883392
496	0.9743369791	0.2400791442
497	0.9744799485	0.239580417
498	0.974622918	0.2390666885
499	0.9747658875	0.2386698035
